CLASE DE ACCIDENTE;GRAVEDAD;VIAS;CORREGIMIENTO;DIA  SEMANA;FECHA DE OCURRECIA;HORA OCURRENCIA
ATROPELLO;HERIDOS;CALI-CANDELARIA;VILLAGORGONA;LUNES;21/06/2021;7:00:00 a. m.
CHOQUE;DAÑOS;CALI-CANDELARIA;JUANCHITO;VIERNES;25/06/2021;12:00:00 a. m.
CHOQUE;DAÑOS;VILLARICA-PALMIRA;EL LAURO;JUEVES;24/06/2021;7:30:00 a. m.
CHOQUE;DAÑOS;CALI-CANDELARIA;VILLAGORGONA;JUEVES;24/06/2021;9:50:00 p. m.
CHOQUE;DAÑOS;CALI-CANDELARIA;VILLAGORGONA;VIERNES;25/06/2021;3:10:00 p. m.
CHOQUE;DAÑOS;CALI-CANDELARIA;POBLADO CAMPESTRE;SABADO;26/06/2021;6:00:00 p. m.
CHOQUE;DAÑOS;CANDELARIA;CANDELARIA;SABADO;26/06/2021;4:00:00 p. m.
CHOQUE;HERIDOS;CALI-CANDELARIA;JUANCHITO;LUNES;28/06/2021;6:09:00 a. m.
CHOQUE;DAÑOS;VILLARICA-PALMIRA;CANDELARIA;MIERCOLES;30/06/2021;6:20:00 a. m.
CHOQUE;DAÑOS;VILLARICA-PALMIRA;CANDELARIA;MIERCOLES;30/06/2021;12:30:00 p. m.
CHOQUE;DAÑOS;CANDELARIA;CANDELARIA;JUEVES;1/07/2021;9:37:00 a. m.
ATROPELLO;HERIDOS;CANDELARIA;CANDELARIA;VIERNES;2/07/2021;9:25:00 a. m.
CHOQUE;DAÑOS;CANDELARIA;CANDELARIA;VIERNES;2/07/2021;8:40:00 a. m.
CHOQUE;HERIDOS;CANDELARIA;SAN JOAQUIN;SABADO;3/07/2021;6:30:00 a. m.
CHOQUE;HERIDOS;CALI-FLORIDA;CANDELARIA;SABADO;3/07/2021;6:46:00 a. m.
CHOQUE;MUERTOS;VILLARICA-PALMIRA;EL CABUYAL;SABADO;3/07/2021;7:30:00 p. m.
CHOQUE;DAÑOS;CALI-CANDELARIA;JUANCHITO;SABADO;3/07/2021;10:50:00 p. m.
